Real Energy	Noised Energy	Filtered Energy	Noised Diff	Filtered Diff
238.809	238.937	238.843	-0.054%	-0.014%
190.294	182.177	182.211	4.265%	4.247%
573.283	569.715	568.741	0.622%	0.792%
524.658	519.816	519.139	0.923%	1.052%
294.096	285.87	285.444	2.797%	2.942%
228.221	225.236	224.898	1.308%	1.456%
109.819	111.289	110.71	-1.339%	-0.812%
560.183	562.638	561.483	-0.438%	-0.232%
392.37	392.111	391.653	0.066%	0.183%
114.059	113.043	113.045	0.891%	0.889%
722.157	724.325	723.251	-0.3%	-0.151%
303.79	298.334	297.845	1.796%	1.957%
623.81	631.48	629.895	-1.23%	-0.976%
297.263	301.635	301.396	-1.471%	-1.39%
445.541	450.561	450.173	-1.127%	-1.04%
123.154	134.086	134.006	-8.877%	-8.812%
103.699	101.574	101.416	2.05%	2.202%
398.415	397.524	397.07	0.224%	0.338%
395.002	399.325	398.392	-1.094%	-0.858%
513.725	517.692	516.77	-0.772%	-0.593%
593.843	596.072	595.4	-0.375%	-0.262%
430.169	435.212	434.324	-1.172%	-0.966%
402.047	401.15	400.326	0.223%	0.428%
336.487	336.389	335.97	0.029%	0.154%
126.211	124.319	124.185	1.499%	1.605%
670.892	665.647	664.813	0.782%	0.906%
211.911	212.487	212.016	-0.272%	-0.05%
655.392	646.294	645.706	1.388%	1.478%
134.582	128.612	128.481	4.436%	4.534%
460.037	455.739	455.485	0.934%	0.99%
548.763	542.307	541.361	1.176%	1.349%
387.165	386.514	386.306	0.168%	0.222%
669.296	654.413	652.889	2.224%	2.451%
180.429	171.0	169.941	5.226%	5.813%
497.431	499.647	498.939	-0.445%	-0.303%
248.139	257.097	256.932	-3.61%	-3.544%
320.073	323.413	323.042	-1.044%	-0.928%
513.871	505.819	507.134	1.567%	1.311%
164.024	172.752	170.051	-5.321%	-3.675%
126.38	127.902	127.509	-1.204%	-0.893%
687.346	686.965	685.79	0.055%	0.226%
207.764	208.649	208.676	-0.426%	-0.439%
220.796	220.004	219.477	0.359%	0.597%
172.302	173.498	173.11	-0.694%	-0.469%
556.32	555.478	554.965	0.151%	0.244%
357.665	354.193	353.885	0.971%	1.057%
83.527	78.897	78.769	5.544%	5.696%
394.028	394.393	393.94	-0.093%	0.022%
376.774	373.769	373.749	0.798%	0.803%
181.594	181.624	181.37	-0.017%	0.123%
498.216	500.424	500.092	-0.443%	-0.376%
421.782	423.849	423.359	-0.49%	-0.374%
237.661	236.938	236.642	0.304%	0.429%
201.921	196.772	195.943	2.55%	2.96%
738.487	733.564	732.295	0.667%	0.838%
548.229	543.447	542.599	0.872%	1.027%
595.974	598.016	596.851	-0.343%	-0.147%
106.281	112.938	112.731	-6.263%	-6.068%
338.433	349.118	348.108	-3.157%	-2.859%
383.163	381.697	380.914	0.383%	0.587%
99.51	100.867	100.516	-1.363%	-1.011%
518.205	519.354	517.687	-0.222%	0.1%
521.438	521.396	520.748	0.008%	0.132%
471.022	470.368	468.709	0.139%	0.491%
212.512	211.376	211.321	0.535%	0.561%
564.573	568.366	567.495	-0.672%	-0.518%
700.729	702.363	701.66	-0.233%	-0.133%
269.714	276.143	275.285	-2.384%	-2.066%
164.555	159.608	159.517	3.006%	3.062%
351.893	349.445	348.897	0.696%	0.851%
73.201	73.125	73.197	0.104%	0.006%
129.424	129.209	129.047	0.166%	0.291%
651.374	647.931	647.551	0.528%	0.587%
319.597	318.0	317.74	0.5%	0.581%
76.556	81.125	81.247	-5.969%	-6.128%
314.873	324.391	323.586	-3.023%	-2.767%
294.225	293.803	293.528	0.143%	0.237%
222.76	217.734	217.856	2.257%	2.201%
511.308	508.434	507.076	0.562%	0.828%
205.986	202.553	202.511	1.666%	1.687%
539.729	546.46	545.823	-1.247%	-1.129%
62.196	64.789	64.075	-4.17%	-3.022%
541.917	541.256	540.532	0.122%	0.256%
77.839	68.191	67.956	12.394%	12.697%
720.53	727.455	726.473	-0.961%	-0.825%
650.482	651.634	650.758	-0.177%	-0.042%
93.397	101.309	100.937	-8.472%	-8.073%
172.617	171.423	171.265	0.692%	0.783%
489.717	491.426	490.662	-0.349%	-0.193%
701.866	701.3	699.829	0.081%	0.29%
435.111	435.736	435.255	-0.144%	-0.033%
518.662	526.451	525.283	-1.502%	-1.277%
547.144	555.015	553.456	-1.438%	-1.154%
576.636	583.133	581.787	-1.127%	-0.893%
546.265	545.901	545.138	0.067%	0.206%
641.155	641.322	640.462	-0.026%	0.108%
221.593	225.204	224.626	-1.63%	-1.369%
459.721	459.897	458.983	-0.038%	0.161%
85.364	83.536	83.386	2.141%	2.317%
649.032	647.748	646.342	0.198%	0.414%
561.251	556.554	556.095	0.837%	0.919%
457.791	453.257	452.911	0.99%	1.066%
229.341	233.329	232.903	-1.739%	-1.553%
392.795	394.372	393.935	-0.402%	-0.29%
378.236	377.911	377.178	0.086%	0.28%
413.507	417.637	416.926	-0.999%	-0.827%
260.523	256.615	256.227	1.5%	1.649%
222.804	217.168	216.711	2.529%	2.734%
93.546	94.078	94.005	-0.568%	-0.49%
65.197	61.148	61.011	6.21%	6.42%
182.217	179.503	179.29	1.489%	1.606%
606.915	602.752	601.927	0.686%	0.822%
96.191	90.31	90.117	6.114%	6.314%
425.812	426.238	425.545	-0.1%	0.063%
408.631	412.764	411.832	-1.011%	-0.783%
307.903	304.951	304.218	0.959%	1.197%
408.965	410.369	409.346	-0.343%	-0.093%
117.561	116.725	116.617	0.711%	0.803%
357.418	352.818	352.558	1.287%	1.36%
666.851	674.818	674.165	-1.195%	-1.097%
649.534	650.863	650.061	-0.205%	-0.081%
310.446	308.339	307.799	0.679%	0.853%
556.527	562.418	560.885	-1.058%	-0.783%
243.574	242.078	241.267	0.614%	0.947%
111.545	110.921	110.841	0.559%	0.631%
214.716	211.558	211.001	1.471%	1.731%
