Real Energy	Noised Energy	Filtered Energy	Noised Diff	Filtered Diff
572.849	575.903	575.169	-0.533%	-0.405%
681.119	692.005	690.133	-1.598%	-1.323%
317.697	319.536	318.822	-0.579%	-0.354%
479.489	486.447	485.552	-1.451%	-1.264%
169.374	167.297	166.814	1.226%	1.512%
174.912	174.052	173.803	0.492%	0.634%
495.282	494.668	493.253	0.124%	0.41%
302.221	298.718	297.96	1.159%	1.41%
545.516	540.738	539.215	0.876%	1.155%
416.628	414.056	412.982	0.617%	0.875%
564.167	562.109	561.332	0.365%	0.503%
144.708	150.315	149.888	-3.874%	-3.579%
679.852	688.424	687.238	-1.261%	-1.086%
111.326	118.01	117.993	-6.004%	-5.989%
198.752	205.656	205.313	-3.474%	-3.301%
216.399	214.164	213.489	1.033%	1.345%
620.216	623.438	621.535	-0.52%	-0.213%
177.093	178.294	177.969	-0.678%	-0.495%
513.68	509.911	508.713	0.734%	0.967%
158.531	151.436	151.54	4.476%	4.41%
409.174	414.051	412.978	-1.192%	-0.929%
623.802	619.862	618.913	0.632%	0.784%
702.851	697.488	696.263	0.763%	0.937%
314.512	299.244	298.884	4.855%	4.969%
317.831	306.749	306.457	3.487%	3.579%
662.373	659.869	658.841	0.378%	0.533%
330.765	329.211	328.593	0.47%	0.657%
614.021	607.055	606.267	1.135%	1.263%
277.354	275.571	275.261	0.643%	0.754%
701.16	703.488	702.92	-0.332%	-0.251%
698.496	696.103	694.447	0.343%	0.58%
376.296	374.004	373.593	0.609%	0.718%
251.048	245.522	244.858	2.201%	2.466%
61.334	48.397	48.219	21.093%	21.383%
421.283	412.661	411.593	2.047%	2.3%
706.639	703.335	702.451	0.468%	0.593%
429.436	431.251	430.514	-0.423%	-0.251%
334.148	328.31	328.092	1.747%	1.812%
545.139	549.046	547.686	-0.717%	-0.467%
180.95	175.8	175.642	2.846%	2.933%
638.242	631.397	631.071	1.073%	1.124%
572.284	571.821	571.088	0.081%	0.209%
743.623	745.314	744.105	-0.227%	-0.065%
85.684	86.096	85.939	-0.482%	-0.298%
460.491	458.864	458.581	0.353%	0.415%
161.195	150.247	150.02	6.792%	6.933%
466.817	463.38	462.67	0.736%	0.888%
209.377	209.012	208.752	0.174%	0.298%
206.535	209.157	208.697	-1.269%	-1.047%
571.416	568.731	568.184	0.47%	0.566%
691.858	691.728	691.03	0.019%	0.12%
177.509	176.752	176.445	0.426%	0.599%
288.257	279.944	280.099	2.884%	2.83%
67.852	65.201	65.091	3.906%	4.068%
630.373	624.285	623.076	0.966%	1.158%
617.473	613.323	612.29	0.672%	0.839%
659.323	651.1	650.053	1.247%	1.406%
321.431	314.265	313.559	2.229%	2.449%
644.575	640.433	639.369	0.643%	0.808%
329.11	329.759	329.084	-0.197%	0.008%
102.942	131.244	120.334	-27.493%	-16.895%
542.626	534.801	533.789	1.442%	1.628%
661.163	663.494	662.541	-0.353%	-0.208%
49.783	44.863	44.827	9.882%	9.956%
102.109	103.551	103.502	-1.412%	-1.364%
661.797	651.859	650.697	1.502%	1.677%
228.449	221.339	220.013	3.112%	3.693%
183.229	168.387	168.411	8.1%	8.087%
293.678	289.302	288.901	1.49%	1.626%
675.214	675.973	675.383	-0.112%	-0.025%
724.617	725.577	724.551	-0.132%	0.009%
422.847	423.416	422.977	-0.135%	-0.031%
667.866	669.741	669.518	-0.281%	-0.247%
373.575	372.138	371.775	0.385%	0.482%
558.501	560.046	559.317	-0.277%	-0.146%
446.419	445.483	445.416	0.21%	0.225%
452.228	454.499	453.555	-0.502%	-0.293%
677.298	679.922	678.743	-0.387%	-0.213%
343.983	347.886	347.151	-1.135%	-0.921%
136.264	124.336	124.051	8.753%	8.963%
576.15	572.76	571.834	0.588%	0.749%
421.224	423.298	422.285	-0.492%	-0.252%
121.207	118.179	117.856	2.498%	2.765%
59.55	50.307	50.184	15.521%	15.727%
524.934	528.895	528.128	-0.755%	-0.608%
692.477	692.712	691.893	-0.034%	0.084%
585.998	580.082	578.353	1.01%	1.305%
61.825	55.363	55.328	10.452%	10.508%
455.298	459.184	458.914	-0.854%	-0.794%
71.013	68.189	68.085	3.976%	4.123%
549.812	553.631	552.457	-0.694%	-0.481%
488.321	488.654	487.948	-0.068%	0.076%
52.501	49.814	49.795	5.117%	5.154%
377.786	376.894	375.773	0.236%	0.533%
218.151	223.388	222.552	-2.4%	-2.017%
708.558	709.765	708.764	-0.17%	-0.029%
389.449	381.545	380.982	2.029%	2.174%
608.01	608.537	607.188	-0.087%	0.135%
610.854	607.686	606.781	0.519%	0.667%
519.238	514.025	512.523	1.004%	1.293%
512.011	507.479	506.271	0.885%	1.121%
294.005	289.968	289.121	1.373%	1.661%
385.845	389.887	389.2	-1.048%	-0.869%
65.623	66.694	66.149	-1.632%	-0.801%
134.779	137.145	137.026	-1.755%	-1.668%
449.857	459.492	458.847	-2.142%	-1.998%
287.456	286.165	285.886	0.449%	0.546%
104.117	102.738	102.939	1.324%	1.131%
110.826	111.266	111.198	-0.397%	-0.336%
585.111	589.591	587.433	-0.766%	-0.397%
605.64	607.92	606.741	-0.376%	-0.182%
610.051	616.399	615.406	-1.041%	-0.878%
147.861	147.531	147.393	0.223%	0.316%
515.788	516.405	515.99	-0.12%	-0.039%
278.177	269.571	269.374	3.094%	3.165%
278.983	281.286	280.703	-0.826%	-0.617%
718.914	721.985	720.207	-0.427%	-0.18%
493.178	489.49	489.078	0.748%	0.831%
531.715	536.03	535.548	-0.811%	-0.721%
415.625	415.396	414.966	0.055%	0.158%
585.705	589.338	587.947	-0.62%	-0.383%
710.261	711.708	711.135	-0.204%	-0.123%
647.954	649.694	648.868	-0.268%	-0.141%
624.35	624.544	623.938	-0.031%	0.066%
590.942	593.006	592.437	-0.349%	-0.253%
347.394	348.083	347.798	-0.198%	-0.116%
178.525	178.98	178.885	-0.255%	-0.202%
733.64	727.801	726.511	0.796%	0.972%
498.114	498.762	498.302	-0.13%	-0.038%
234.355	238.352	237.965	-1.706%	-1.54%
437.231	433.644	433.056	0.82%	0.955%
702.844	699.228	697.863	0.514%	0.709%
212.234	206.076	205.777	2.902%	3.043%
314.336	309.98	309.133	1.386%	1.655%
171.62	174.399	173.886	-1.619%	-1.32%
650.533	646.387	644.945	0.637%	0.859%
265.756	272.935	272.122	-2.702%	-2.396%
368.426	367.87	367.145	0.151%	0.348%
700.351	695.114	694.525	0.748%	0.832%
426.272	422.627	422.266	0.855%	0.94%
495.328	497.35	497.014	-0.408%	-0.34%
258.074	260.448	260.128	-0.92%	-0.796%
565.523	570.095	569.583	-0.808%	-0.718%
54.087	57.404	57.272	-6.134%	-5.889%
120.32	116.538	116.632	3.143%	3.065%
343.781	346.777	345.895	-0.871%	-0.615%
480.308	469.584	468.874	2.233%	2.381%
242.688	234.243	234.658	3.48%	3.309%
647.983	646.646	645.421	0.206%	0.395%
713.978	711.113	709.919	0.401%	0.569%
646.726	642.225	641.721	0.696%	0.774%
470.889	470.555	469.812	0.071%	0.229%
678.558	681.925	680.539	-0.496%	-0.292%
96.115	97.568	97.52	-1.511%	-1.461%
613.1	618.288	617.608	-0.846%	-0.735%
587.933	588.169	587.179	-0.04%	0.128%
304.593	323.729	305.875	-6.282%	-0.421%
209.016	203.999	203.717	2.401%	2.535%
231.49	230.32	229.616	0.505%	0.809%
148.52	138.775	138.749	6.562%	6.579%
528.946	532.733	531.699	-0.716%	-0.52%
241.001	242.039	241.71	-0.431%	-0.294%
235.848	235.869	235.565	-0.009%	0.12%
158.473	159.617	158.842	-0.722%	-0.233%
66.683	66.484	66.329	0.298%	0.53%
730.343	731.838	731.336	-0.205%	-0.136%
615.896	623.378	622.549	-1.215%	-1.08%
711.611	705.956	704.944	0.795%	0.937%
54.23	56.261	56.042	-3.745%	-3.341%
88.692	92.115	91.992	-3.859%	-3.721%
172.011	174.531	174.149	-1.465%	-1.242%
281.26	276.115	275.918	1.829%	1.899%
185.226	183.629	182.974	0.862%	1.216%
617.804	617.316	616.828	0.079%	0.158%
403.593	402.331	401.92	0.313%	0.414%
68.178	62.036	61.891	9.009%	9.222%
332.799	330.063	329.63	0.822%	0.952%
739.632	731.991	731.681	1.033%	1.075%
174.093	179.875	179.491	-3.321%	-3.101%
80.122	89.632	89.291	-11.869%	-11.444%
474.403	471.321	471.448	0.65%	0.623%
417.662	422.679	421.519	-1.201%	-0.923%
551.896	547.938	547.497	0.717%	0.797%
227.39	230.233	229.307	-1.25%	-0.843%
598.597	585.671	588.878	2.159%	1.624%
147.509	144.838	144.185	1.81%	2.253%
142.396	140.274	139.766	1.49%	1.847%
672.831	665.122	665.294	1.146%	1.12%
199.101	194.578	195.342	2.272%	1.888%
704.994	705.176	704.625	-0.026%	0.052%
729.476	724.671	724.242	0.659%	0.717%
216.683	214.843	214.302	0.849%	1.099%
520.145	517.984	517.178	0.416%	0.57%
257.388	256.107	255.433	0.497%	0.76%
618.571	611.606	610.081	1.126%	1.372%
605.844	605.514	604.839	0.055%	0.166%
499.204	499.524	498.994	-0.064%	0.042%
66.247	62.797	62.508	5.208%	5.645%
481.217	479.757	478.621	0.303%	0.539%
365.974	365.04	364.796	0.255%	0.322%
466.905	463.104	462.551	0.814%	0.932%
631.282	625.625	625.205	0.896%	0.963%
669.042	674.806	673.636	-0.862%	-0.687%
596.814	597.149	596.916	-0.056%	-0.017%
373.068	371.712	371.273	0.364%	0.481%
700.961	704.808	702.713	-0.549%	-0.25%
445.203	447.99	446.943	-0.626%	-0.391%
600.41	595.558	594.355	0.808%	1.008%
632.735	633.309	632.261	-0.091%	0.075%
367.368	359.879	359.502	2.039%	2.141%
162.259	168.893	168.659	-4.088%	-3.944%
560.498	555.979	555.101	0.806%	0.963%
146.968	145.087	145.144	1.28%	1.241%
525.022	517.122	516.39	1.505%	1.644%
169.669	171.671	171.195	-1.18%	-0.9%
402.305	411.748	410.905	-2.347%	-2.138%
107.05	106.174	105.695	0.818%	1.266%
195.603	199.525	199.115	-2.005%	-1.796%
693.519	690.348	689.358	0.457%	0.6%
727.666	726.466	725.447	0.165%	0.305%
214.343	217.195	216.391	-1.331%	-0.956%
592.07	591.865	591.079	0.035%	0.167%
167.673	167.687	167.428	-0.008%	0.146%
406.987	412.285	410.832	-1.302%	-0.945%
536.096	536.147	534.794	-0.01%	0.243%
88.217	66.479	66.245	24.642%	24.907%
193.879	195.851	195.734	-1.017%	-0.957%
116.897	110.825	110.642	5.194%	5.351%
184.518	183.235	182.749	0.696%	0.959%
154.794	147.272	146.791	4.86%	5.17%
385.445	383.245	382.649	0.571%	0.725%
155.311	151.006	150.831	2.772%	2.885%
74.243	66.184	65.771	10.855%	11.411%
512.443	505.499	504.529	1.355%	1.544%
611.235	605.701	605.235	0.905%	0.981%
597.112	604.384	603.891	-1.218%	-1.135%
257.428	252.446	251.607	1.935%	2.261%
642.97	644.333	642.817	-0.212%	0.024%
79.102	79.999	79.907	-1.134%	-1.018%
239.269	237.468	237.093	0.753%	0.91%
184.787	186.156	185.429	-0.741%	-0.348%
149.922	149.699	149.203	0.149%	0.48%
689.925	689.12	687.978	0.117%	0.282%
478.338	473.189	472.552	1.076%	1.21%
459.659	455.598	455.348	0.884%	0.938%
269.764	263.968	263.57	2.149%	2.296%
180.083	184.006	183.757	-2.179%	-2.04%
159.788	168.332	167.837	-5.347%	-5.038%
122.88	121.996	121.646	0.719%	1.005%
233.087	240.16	239.728	-3.035%	-2.85%
194.069	203.968	203.711	-5.1%	-4.968%
165.285	171.91	171.774	-4.008%	-3.926%
744.456	745.491	743.469	-0.139%	0.133%
623.301	623.979	622.085	-0.109%	0.195%
250.187	249.235	248.635	0.381%	0.62%
528.408	525.464	524.247	0.557%	0.787%
644.077	639.472	638.769	0.715%	0.824%
308.299	312.207	311.862	-1.267%	-1.156%
683.436	683.921	682.571	-0.071%	0.127%
70.109	72.561	72.299	-3.497%	-3.124%
139.919	140.253	139.944	-0.239%	-0.018%
249.582	248.56	248.138	0.409%	0.579%
709.324	709.585	708.677	-0.037%	0.091%
152.274	151.538	151.409	0.484%	0.568%
644.711	645.791	644.849	-0.168%	-0.022%
231.99	230.082	229.61	0.823%	1.026%
314.649	307.571	307.488	2.25%	2.276%
96.355	97.389	96.967	-1.074%	-0.636%
354.449	352.597	352.507	0.523%	0.548%
90.777	82.834	82.666	8.75%	8.935%
504.034	495.144	494.865	1.764%	1.819%
392.543	391.546	390.892	0.254%	0.421%
723.54	727.001	725.676	-0.478%	-0.295%
421.948	425.725	425.534	-0.895%	-0.85%
307.936	308.867	308.648	-0.302%	-0.231%
521.318	517.285	516.724	0.774%	0.881%
472.543	474.754	474.043	-0.468%	-0.317%
155.909	157.386	157.217	-0.947%	-0.839%
318.805	317.343	317.063	0.459%	0.547%
415.79	412.061	411.493	0.897%	1.033%
320.406	318.59	317.919	0.567%	0.776%
702.394	707.447	706.033	-0.719%	-0.518%
665.145	666.266	665.36	-0.169%	-0.032%
346.163	348.938	348.138	-0.801%	-0.571%
653.789	652.772	651.626	0.156%	0.331%
260.085	260.574	260.338	-0.188%	-0.097%
713.523	712.922	712.05	0.084%	0.206%
607.963	606.107	605.381	0.305%	0.425%
745.354	745.829	744.767	-0.064%	0.079%
666.99	673.705	672.638	-1.007%	-0.847%
563.762	564.085	563.776	-0.057%	-0.002%
165.779	173.229	172.755	-4.494%	-4.208%
